Accession Number,Inventory (x = verified),Genus,Species,Date Collected,UUID,Verified
A5436,x,Ectocarpus,sp.,1934 Jan 30,DF88DCFF-77A2-AA41-BE46-52B09183C964,03/17/2020
A36072,x,Ectocarpus,sp.,1968 Sep 10,BF217DE2-A044-2A46-A811-728126865267,03/17/2020
A16112,x,Ectocarpus,sp.,1967 Dec 12,5BCBE35F-0731-9E49-863F-2F49B47D6717,03/17/2020
A16183,x,Ectocarpus,sp.,1967 Dec 12,52D1B66B-A500-A14E-8562-F4CFCD274B08,03/17/2020
A59473,x,Ectocarpus,sp.,1934 Oct 13,736AD5C6-70BF-584A-A15C-5186AE146F62,03/17/2020
A59493,x,Ectocarpus,sp.,1934 Oct 15,D74055E1-AFAE-E046-B6CC-52FCD1E955D9,03/17/2020
A59523,x,Ectocarpus,sp.,1934 Oct 20,B72DCE6E-ABCC-894B-9FEA-E15722A41320,03/17/2020
A59548,x,Ectocarpus,sp.,1934 Dec 27,0DBB769A-71A5-124A-95EE-7F09D9D9FC92,03/17/2020
A59611,x,Ectocarpus,sp.,1912 Sep-Oct,B8B2D4B7-A1C1-D243-A583-0B91FF2192B5,03/17/2020
A59354,x,Ectocarpus,sp.,1934 Dec 12,2F729134-A161-9349-9A83-BE6041E55DDC,03/17/2020
A59355,x,Ectocarpus,sp.,1934 Dec 12,38138548-4A96-1D4D-9391-67A566B0E54E,03/17/2020
A43467,x,Ectocarpus,sp.,1970 Jan 10,E65D2C8E-E3AB-C04F-ADED-3D7758F9760A,03/17/2020
A52614,x,Ectocarpus,sp.,1969 Jun 05,9A47AA5C-DDCE-0647-9803-CE5D5E0E42C9,03/17/2020
A37712,x,Ectocarpus,sp.,1967 Jun 26,61657509-53A1-3544-9019-03AD4E53CB02,03/17/2020
A56427,x,Ectocarpus,sp.,1967 Jun 26,7B386438-5F53-9347-AD20-41AB3D194B4D,03/17/2020
A53051,x,Ectocarpus,sp.,1969 Jun 15,60A29B56-406C-7649-9252-10C007E16EF4,03/17/2020
A1629,x,Ectocarpus,sp.,1955 Oct 22,F1A72134-91C0-AD46-B2E1-BCC61F2D6D8F,03/17/2020
A1627,x,Ectocarpus,sp.,1955 Oct 22,992C69CB-B2B7-BE4C-BA51-EA50830993E5,03/17/2020
A14422,x,Ectocarpus,sp.,1955 Nov 02,9E12BD6E-F845-E94F-87CD-B8DE046F031F,03/17/2020
A14421,x,Ectocarpus,sp.,1955 Nov 02,F89D9BB4-D732-424C-AFE4-8C30233451F6,03/17/2020
A44426,x,Ectocarpus,sp.,1970 Feb 07,3CA0F394-9603-6B47-A78F-D8282F656253,03/17/2020
A44427,x,Ectocarpus,sp.,1970 Feb 07,ECC92133-FCFA-4243-B559-DE7FB80C2FA7,03/17/2020
