Accession Number,X = Inventoried,Genus,Species,Date Collected,UUID,Verified
A45716,X,Costaria,costata,1968 Jun 08,F4A271E1-A6C8-6844-9A8E-688F71602618,03/16/2020
A45718,X,Costaria,costata,1968 Jul 06,80EC76D9-C7F7-454F-8435-DD77E96904B7,03/16/2020
A45717,X,Costaria,costata,1968 Aug 24,53E7107D-BD46-B444-A98D-9AAAF465A5A1,03/16/2020
A45773,X,Costaria,costata,1969 Apr 12,3F79C44C-A476-7A42-AE27-0BC71EBB0024,03/16/2020
A45771,X,Costaria,costata,1969 Mar 08,EFDB6F26-72BB-EF42-921F-FB22FC1B2FA1,03/16/2020
A45772,X,Costaria,costata,1969 Mar 29,FC82FB41-5C4F-F142-A29F-87B4DC475C13,03/16/2020
A45727,X,Costaria,costata,1969 Jul 12,18C1EB6E-DCD4-5A46-A43C-7B9B2C239E97,03/16/2020
A7384,X,Costaria,costata,1959 Aug 14,E0ADCA07-3798-754A-A31B-3AC524B9E544,03/16/2020
A3161,X,Costaria,costata,1957 Jul 30,23CB3192-F02F-B249-9B3D-C961239D595D,03/16/2020
A3979,X,Costaria,costata,1959 May 28,AAD42984-7CEE-2545-A6A5-C2C2674B36FB,03/16/2020
A3162,X,Costaria,costata,1957 May 14,6001B27E-6AC4-F84B-B7F3-1F897B4A3CE4,03/16/2020
A3158,X,Costaria,costata,1957 Jul 26,137AF5BE-2E73-4B4B-B480-D5E0388AB7C7,03/16/2020
A53261,X,Costaria,costata,1975 May 14,DC3348F1-BC6A-4542-A74A-2581282B7B8B,03/16/2020
A3159,X,Costaria,costata,1957 Jul,F0BB2E07-4FCF-034A-8D95-D94F26D2A95F,03/16/2020
A55089,X,Costaria,costata,1976 Mar 24,DEC8BAE1-3C2F-CB48-B901-10996AB8B6BE,03/16/2020
A54687,X,Costaria,costata,1976 Mar 26,2A92DA4C-3CF3-F846-A1B7-FD2FA25B9BCD,03/16/2020
A45678,X,Costaria,costata,1968 Apr 17,BEC647D7-8A6D-ED44-8813-6BEB7F642C79,03/16/2020
A45683,X,Costaria,costata,1969 Apr 08,B50AB307-F367-FA41-9850-1E4C37B39F7A,03/16/2020
A45680,X,Costaria,costata,1969 Apr 20,54F3E2C7-AABA-7646-9E03-100D1DAAE75F,03/16/2020
A45681,X,Costaria,costata,1969 Apr 08,2AB219F0-6C47-834A-9BA1-0F5161331BD0,03/16/2020
A45679,X,Costaria,costata,1968 May 14,C842BC91-35AC-3247-B8FA-9A6B94C97F27,03/16/2020
A89752,X,Costaria,costata,2013 May 22,97D656B5-F32E-3043-AB6B-FD3C6174C1C0,03/16/2020
A68060,x,Ectocarpus,parvus,1985 Jun 02,AF652EA7-E758-B840-81EB-37A63E3F5324,03/16/2020
A69829,x,Ectocarpus,parvus,1987 Jul 12,3EB13071-FA97-364F-A789-FC4FE53FFAE8,03/16/2020
A69872,x,Ectocarpus,parvus,1988 May 15,858E99D0-E656-E14D-A458-E0AD18793D8A,03/16/2020
A40501,x,Ectocarpus,parvus,1969 Jun 18,EBA3E4BD-B83F-A445-81AE-1989D060ACC8,03/16/2020
A37030,x,Ectocarpus,parvus,1968 Aug 14,2A2919EF-5508-0A42-9CB6-C60633F26516,03/16/2020
A36757,x,Ectocarpus,parvus,1968 Aug 14,5C8A73DB-2B0B-B34B-BD45-5D63E164F03D,03/16/2020
A47681,x,Ectocarpus,parvus,1969 Aug 15,0FD0D55D-1433-8C40-9A0C-3C4787D9960D,03/16/2020
A47680,x,Ectocarpus,parvus,1969 Aug 05,B412E1F5-336A-FC44-B133-0D6D6ED64392,03/16/2020
A47678,x,Ectocarpus,parvus,1969 Jun 30,77CBCD96-54D8-3540-A4AD-3850D98094A7,03/16/2020
A47674,x,Ectocarpus,parvus,1969 Jun 19,F4D05F8D-243A-2441-A79C-7EECEFD5B7F2,03/16/2020
A47671,x,Ectocarpus,parvus,1969 Jun 03,98A3D2C3-6689-1E4E-BAAD-ADB7C5E81878,03/16/2020
A60446,x,Ectocarpus,parvus,1979 Apr 01,8F7EA662-FC40-9E44-86E9-EE334565D0DC,03/16/2020
A57397,x,Ectocarpus,parvus,1977 Apr 02-03,1FC3EEDF-1E7E-C14C-9063-5FCD753A33DD,03/16/2020
A60346,x,Ectocarpus,parvus,1979 Mar 24,26A56441-AA99-F542-8284-D466F4307CA4,03/16/2020
A60439,x,Ectocarpus,parvus,1979 Mar 24,6E8CF94F-F827-E149-9C4C-304D2F6A75EE,03/16/2020
A60442,x,Ectocarpus,parvus,1979 Mar 24,9E6EF9B7-F6FB-6F4B-823C-C698583EA65C,03/16/2020
A12451,x,Ectocarpus,parvus,1959 May 24,CAB35016-4B77-A844-9B86-8C4A075188FD,03/16/2020
A57268,x,Ectocarpus,parvus,1977 May 06,D8520731-B1E4-BE40-B131-DF8E10E2FB5F,03/16/2020
A53260,x,Ectocarpus,parvus,1975 May 14,B40902C8-C901-0144-8380-E31AF9C5E55C,03/16/2020
A55314,x,Ectocarpus,parvus,1976 Mar 30,570FC036-55E7-F548-B543-5BBC306235C9,03/16/2020
A55260,x,Ectocarpus,parvus,1976 Mar 30,E30F82A3-7AB0-B342-9CA8-8ED2C438D4A6,03/16/2020
A55392,x,Ectocarpus,parvus,1976 Mar 31,052F40C7-59DE-1D46-8443-C6A961660EDC,03/16/2020
A55220,x,Ectocarpus,parvus,1976 Mar 29,0D2CA51F-6250-334F-BA53-4D25F729A9C3,03/16/2020
A61898,x,Ectocarpus,parvus,1979 Jun 11,AF9047AA-C85C-134F-BD64-A334F21BC95E,03/16/2020
A61758,x,Ectocarpus,parvus,1980 Apr 14,D920910C-27FD-4E4F-9B6E-A67652D669C8,03/16/2020
A62080,x,Ectocarpus,parvus,1979 Mar 24,69DD5821-585C-EC4B-ABA8-94C85E6D6D01,03/16/2020
A47403,x,Ectocarpus,parvus,1972 May 15,2D41D6FE-0DEA-4049-BBCB-A5BBA5ED3CBF,03/16/2020
A53478,x,Ectocarpus,parvus,1975 Mar 29,2BBC5EF9-E74E-D74F-A778-4F53389F64AA,03/16/2020
A53492,x,Ectocarpus,parvus,1975 Mar 29,7FEADF5D-33A0-A748-A9C7-32091D0BEE3A,03/16/2020
A23814,x,Ectocarpus,penicillatus,1945 Aug 10,BE31233E-0E26-5B42-9739-A043D1C548AE,03/16/2020
